        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-07-24 08:09:37 ,         132.0   ,           1746.0   ,         105.0   ,         102.0   ,               58.0   ,                          58.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          6   ,                        4   ,                       2434   ,                      393   ,                  44.0   ,         0.725   ,            0.850   ,               42.8   ,                  8052   ,
2024-07-24 08:09:38 ,        1611.0   ,           1750.0   ,         105.0   ,         102.0   ,               61.0   ,                          69.0   ,                  58.0   ,                   47.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         56   ,                       14   ,                       2434   ,                      393   ,                 140.0   ,         0.725   ,            0.850   ,               42.9   ,                  8051   ,
2024-07-24 08:09:39 ,          50.0   ,           1748.0   ,         105.0   ,         102.0   ,               62.0   ,                          63.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        1   ,                       2437   ,                      393   ,                  38.0   ,         0.725   ,            0.850   ,               42.9   ,                  8058   ,
2024-07-24 08:09:40 ,        1502.0   ,           1744.0   ,         105.0   ,         102.0   ,               60.0   ,                          65.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         57   ,                        9   ,                       2437   ,                      393   ,                 126.0   ,         1.200   ,            0.850   ,               42.8   ,                  8050   ,
2024-07-24 08:09:41 ,        1340.0   ,           1744.0   ,         105.0   ,         102.0   ,               63.0   ,                          69.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         43   ,                        8   ,                       2478   ,                      393   ,                  98.0   ,         1.200   ,            0.850   ,               44.0   ,                  8070   ,
2024-07-24 08:09:42 ,          29.0   ,           1746.0   ,         105.0   ,         102.0   ,               59.0   ,                          59.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                       2478   ,                      393   ,                  36.0   ,         0.725   ,            0.850   ,               43.8   ,                  8076   ,
2024-07-24 08:09:43 ,        1289.0   ,           1744.0   ,         105.0   ,         102.0   ,               62.0   ,                          68.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         37   ,                        8   ,                       2479   ,                      393   ,                  89.0   ,         1.200   ,            0.850   ,               44.5   ,                  8081   ,
2024-07-24 08:09:44 ,        1539.0   ,           1750.0   ,         105.0   ,         102.0   ,               63.0   ,                          74.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         51   ,                        9   ,                       2482   ,                      393   ,                 134.0   ,         0.725   ,            0.850   ,               44.1   ,                  8084   ,
2024-07-24 08:09:45 ,        1312.0   ,           1744.0   ,         105.0   ,         102.0   ,               64.0   ,                          73.0   ,                  58.0   ,                   49.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         39   ,                        7   ,                       2482   ,                      393   ,                  96.0   ,         1.200   ,            0.850   ,               44.1   ,                  8084   ,
2024-07-24 08:09:46 ,        1321.0   ,           1744.0   ,         105.0   ,         102.0   ,               63.0   ,                          71.0   ,                  58.0   ,                   50.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         41   ,                        7   ,                       2482   ,                      393   ,                  95.0   ,         1.200   ,            0.850   ,               44.0   ,                  8085   ,
